target,search_time,first_solution_time,first_solution_iteration,number_of_nodes,max_transforms,max_children,number_of_routes,number_of_solved_routes,top_score,is_solved,number_of_steps,number_of_precursors,number_of_precursors_in_stock,precursors_in_stock,precursors_not_in_stock,precursors_availability,policy_used_counts,profiling
CC(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)C(CCC4[C@@]5(C)CCC(/N=C/c6ccc(F)cc6F)C(C)(C)C5CC[C@]43C)C12,15.969523429870605,0,0,83,4,11,53,0,0.5190398538988941,False,2,2,1,CC(C)(C)O,C=C(C)[C@@H]1CC[C@]2(C=O)CC[C@]3(C)C(CCC4[C@@]5(C)CCC(/N=C/c6ccc(F)cc6F)C(C)(C)C5CC[C@]43C)C12,Not in stock;zinc,{'uspto': 82},"{'expansion_calls': 82, 'reactants_generations': 502, 'iterations': 100}"
CC[C@H](C)[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)CN)C(=O)N1CCC2(C=Cc3ccccc32)CC1,36.22627782821655,0,0,101,4,18,71,0,0.6773731872322274,False,2,3,2,"CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O, C1=CC2(CCNCC2)c2ccccc21",NCC(=O)N[C@@H](CC1CCCCC1)C(=O)O,Not in stock;zinc;zinc,{'uspto': 100},"{'expansion_calls': 100, 'reactants_generations': 103, 'iterations': 100}"
CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@H]2CCCN2C[C@H]1C(=O)N[C@@H]1CCOc2ccccc21)C1CCOCC1.Cl.Cl,41.57503843307495,0,0,104,4,11,66,0,0.7490529289315001,False,3,4,3,"C[C@@H](C(=O)O)N(C)C(=O)OC(C)(C)C, CC(C)(C)OC(=O)OC(=O)OC(C)(C)C, N[C@H](C(=O)O)C1CCOCC1",O=C(N[C@@H]1CCOc2ccccc21)[C@@H]1CN2CCC[C@@H]2CN1,zinc;Not in stock;zinc;zinc,{'uspto': 103},"{'expansion_calls': 100, 'reactants_generations': 188, 'iterations': 100}"
COC(=O)/C(C)=C/c1ccc(Oc2ccccc2N/C(=N/c2cccc(Cl)c2)NCCCCNc2ccnc3cc(Cl)ccc23)cc1,37.35367012023926,0,0,101,4,19,64,0,0.7490529289315001,False,3,4,3,"Nc1ccnc2cc(Cl)ccc12, C=C(C)C(=O)OC, Oc1ccc(Br)cc1",OB(O)c1ccccc1N/C(=N/c1cccc(Cl)c1)NCCCCBr,zinc;zinc;Not in stock;zinc,{'uspto': 100},"{'expansion_calls': 97, 'reactants_generations': 384, 'iterations': 100}"
Nc1nc(N)c(CCN(Cc2ccc(NC(CCC(=O)O)C(=O)O)cc2)c2cc(F)cc(F)c2[N+](=O)[O-])c(O)n1,27.97329354286194,0,0,115,3,15,99,0,0.5190398538988941,False,2,2,1,N=C(N)N,COC(=O)C(CCC(=O)O)Nc1ccc(CN(CCC(C(N)=O)C(=O)OC)c2cc(F)cc(F)c2[N+](=O)[O-])cc1,Not in stock;zinc,{'uspto': 114},"{'expansion_calls': 100, 'reactants_generations': 196, 'iterations': 100}"
C#CC[N+](C)(C)C1CC(C)OC(O[C@@H]2C(C)C(OC3CC(C)(OC)C(O)C(C)O3)C(C)C(=O)OC(CC)[C@@](C)(O)[C@H](O)[C@@H](C)C3O[C@@]2(C)C[C@H]3C)C1O,83.42063593864441,0,0,134,2,31,102,0,0.049100689501895424,False,0,1,0,,C#CC[N+](C)(C)C1CC(C)OC(O[C@@H]2C(C)C(OC3CC(C)(OC)C(O)C(C)O3)C(C)C(=O)OC(CC)[C@@](C)(O)[C@H](O)[C@@H](C)C3O[C@@]2(C)C[C@H]3C)C1O,Not in stock,{'uspto': 133},"{'expansion_calls': 100, 'reactants_generations': 103, 'iterations': 100}"
Cc1cccc(C)c1Nc1nnc(SCC(=O)Nc2cc(S(=O)(=O)N3CCCCC3)ccc2Cl)s1,23.11063575744629,0,0,101,4,18,70,0,0.785,False,4,5,4,"C1CCNCC1, O=S(Cl)Cl, Nc1cc(S(=O)(=O)O)ccc1Cl, O=S(Cl)Cl",Cc1cccc(C)c1Nc1nnc(SCC(=O)O)s1,zinc;zinc;zinc;Not in stock;zinc,{'uspto': 100},"{'expansion_calls': 100, 'reactants_generations': 240, 'iterations': 100}"
NCCNC(=O)[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,77.52993321418762,0,0,109,3,15,92,0,0.5190398538988941,False,2,2,1,CC(C)(C)OC(=O)NCCN,O=C(O)[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,Not in stock;zinc,{'uspto': 108},"{'expansion_calls': 100, 'reactants_generations': 164, 'iterations': 100}"
COc1cncc(-c2c(N)ncnc2N2CCC(c3nc(-c4ccc(F)c(C(F)(F)F)c4)cn3C)CC2)c1,51.47772836685181,0,0,102,2,16,85,0,0.6773731872322274,False,2,3,2,"COc1cncc(B(O)O)c1, Nc1ncnc(Cl)c1-c1ccc(F)cc1",Cn1cc(-c2ccc(F)c(C(F)(F)F)c2)nc1C1CCNCC1,zinc;Not in stock;zinc,{'uspto': 101},"{'expansion_calls': 100, 'reactants_generations': 143, 'iterations': 100}"
CC(C)Oc1ccc(-c2nc(-c3cccc4c3CC[C@H]4NS(=O)(=O)CCN3CCC(O)CC3)no2)cc1C#N,35.10540318489075,0,0,104,3,16,79,0,0.7490529289315001,False,3,4,3,"OC1CCNCC1, CC(C)O, N#Cc1cc(C(=O)O)ccc1F",NC(=NO)c1cccc2c1CC[C@H]2NS(=O)(=O)CCCl,zinc;zinc;Not in stock;zinc,{'uspto': 103},"{'expansion_calls': 100, 'reactants_generations': 184, 'iterations': 100}"
CC(=O)c1ccc(Cl)c(-c2ccc(-c3nc(-c4ccc(Cl)c(Cl)c4)cs3)cc2C(=O)O)c1,34.47984170913696,25.318819046020508,75,102,3,12,88,2,0.9865529289315002,True,3,4,4,"CC(=O)c1ccc(Cl)c(B(O)O)c1, O=C(CCl)c1ccc(Cl)c(Cl)c1, CC(N)=S, COC(=O)c1cc(C#N)ccc1Br",,zinc;zinc;zinc;zinc,{'uspto': 101},"{'expansion_calls': 98, 'reactants_generations': 203, 'iterations': 100}"
COC(=O)Nc1ccc(-c2cc([C@H](CC(=O)N3CC[C@@H](O)C3)NC(=O)/C=C/c3cc(Cl)ccc3-n3cnnn3)nnc2Cl)cc1,46.81472420692444,0,0,109,2,15,93,0,0.6773731872322274,False,2,3,2,"CC(C)(C)OC(=O)N1CC[C@@H](O)C1, COC(=O)Cl",Nc1ccc(-c2cc([C@H](CC(=O)O)NC(=O)/C=C/c3cc(Cl)ccc3-n3cnnn3)nnc2Cl)cc1,zinc;zinc;Not in stock,{'uspto': 108},"{'expansion_calls': 100, 'reactants_generations': 154, 'iterations': 100}"
COC[C@H]1O[C@@H](OCc2ccc(Cl)cc2)[C@H](NC(=O)CCCN=C(N)N)[C@@H](OCc2ccc3ccccc3c2)[C@@H]1O,47.309653997421265,0,0,104,3,13,84,0,0.6773731872322274,False,2,3,2,"NC(N)=NCCCC(=O)O, Clc1ccc(CBr)cc1",COC[C@H]1O[C@@H](O)[C@H](N)[C@@H](OCc2ccc3ccccc3c2)[C@@H]1O,zinc;zinc;Not in stock,{'uspto': 103},"{'expansion_calls': 100, 'reactants_generations': 159, 'iterations': 100}"
