target,search_time,first_solution_time,first_solution_iteration,number_of_nodes,max_transforms,max_children,number_of_routes,number_of_solved_routes,top_score,is_solved,number_of_steps,number_of_precursors,number_of_precursors_in_stock,precursors_in_stock,precursors_not_in_stock,precursors_availability,policy_used_counts,profiling,,,,,,,,,
CC(=O)N(C)c1ccc(-c2cn3cc(Br)ccc3n2)cc1C,27.03494358,2.989244699,5,500,7,17,195,39,0.994039854,TRUE,2,3,3,"Nc1ccc(Br)cn1, O=C(Br)CBr, CC(=O)N(C)c1ccccc1C",,zinc;zinc;zinc,{'uspto': 499},"{'expansion_calls': 377, 'reactants_generations': 6377, 'iterations': 100}",,,,,,,,,891
COCCn1c(-c2ccc(C(C)C)cc2)nc2c(OC)ccc(Cl)c21,23.55645108,0.060146093,1,727,13,18,281,57,0.986552929,TRUE,3,3,3,"COCCBr, CC(C)c1ccc(C#N)cc1, COc1ccc(Cl)c(N)c1",,zinc;zinc;zinc,{'uspto': 726},"{'expansion_calls': 484, 'reactants_generations': 4228, 'iterations': 100}",,,,,,,,57.02762345,297
N#Cc1ccccc1C=C1CCCCC1,55.08834672,1.861825228,5,959,13,39,366,12,0.997628706,TRUE,1,2,2,"C=C1CCCCC1, N#Cc1ccccc1Br",,zinc;zinc,{'uspto': 958},"{'expansion_calls': 661, 'reactants_generations': 11352, 'iterations': 100}",,,,,,,,55.99539906,
COC(=O)N1CCCCC1c1cc(C(=O)NCc2ccc(Cl)c(Cl)c2)no1,75.86622047,29.23936725,38,1272,13,11,245,5,0.963447071,TRUE,5,6,6,"NCc1ccc(Cl)c(Cl)c1, COC(=O)Cl, COC(=O)C(=O)OC, CC(=O)Cl, C1CCNCC1, O=C1c2ccccc2C(=O)N1O",,zinc;zinc;zinc;zinc;zinc;zinc,{'uspto': 1271},"{'expansion_calls': 1046, 'reactants_generations': 16058, 'iterations': 100}",,,,,,,,55.99539906,
Cc1ccc(CNCC(NC(=O)CNC(=O)c2cccc(C(F)(F)F)c2)C(=O)N(C)C)c(C)c1,32.80275035,0,0,1447,13,25,192,0,0.855016768,FALSE,12,10,9,"O=C(O)c1cccc(C(F)(F)F)c1, NCC(=O)O, O=C(Cl)Cl, OCC1c2ccccc2-c2ccccc21, Cc1ccc(C=O)c(C)c1, CC(C)(C)OC(=O)OC(=O)OC(C)(C)C, O=C(Cl)OCc1ccccc1, CC(C)(C)OC(=O)OC(=O)OC(C)(C)C, CNC=O",[N-]=[N+]=NCC(N)C(=O)O,zinc;zinc;zinc;zinc;zinc;zinc;zinc;zinc;Not in stock;zinc,{'uspto': 1446},"{'expansion_calls': 1255, 'reactants_generations': 1688, 'iterations': 100}",,,,,,,,,
C[C@@]1(F)[C@H](O)[C@@H](CO)O[C@H]1n1nnc2c(NC3CC3)ncnc21,96.46126747,0,0,2725,13,32,1313,0,0.792001309,FALSE,9,6,5,"NC1CC1, Nc1c(Cl)ncnc1Cl, CC(=O)OC(C)=O, O=NOCc1ccccc1, OCc1ccccc1",CC(C)[Si](O[C@@H]1[C@@H](CBr)O[C@@H](N=[N+]=[N-])[C@]1(C)F)(C(C)C)C(C)C,zinc;zinc;zinc;zinc;Not in stock;zinc,{'uspto': 2724},"{'expansion_calls': 1418, 'reactants_generations': 14071, 'iterations': 100}",,,,,,,,6.288666667,
Cc1nc(N2CCC(N3CCCC3=O)CC2)nc2ccc(NC(=O)/C=C/c3ccc(OC(F)(F)F)cc3)cc12,30.65200162,0,0,589,13,15,119,0,0.833621294,FALSE,7,8,7,"O=Cc1ccc(OC(F)(F)F)cc1, O=C1CCCN1C1CCNCC1, COP(=O)(CC(=O)O)OC, O=C(Cl)C(=O)Cl, O=C(OO)c1cccc(Cl)c1, Cc1nc(Cl)nc2ccccc12, CSC(C)=O",O=[N+]([O-])O,zinc;zinc;zinc;zinc;zinc;zinc;Not in stock;zinc,{'uspto': 588},"{'expansion_calls': 567, 'reactants_generations': 6746, 'iterations': 100}",,,,,,,,,
COc1cc(CCC(=O)N2CCOCC2)c([N+](=O)[O-])cc1OC,35.02763867,1.076905251,5,342,9,17,110,12,0.994039854,TRUE,2,2,2,"COc1cc(C=O)c([N+](=O)[O-])cc1OC, CC(=O)N1CCOCC1",,zinc;zinc,{'uspto': 341},"{'expansion_calls': 320, 'reactants_generations': 9992, 'iterations': 100}",,,,,,,,,
C[C@H]1[C@@H](O)O[C@@H]2O[C@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,104.5221026,0,0,3396,13,18,2013,0,0.634232644,FALSE,8,3,2,"CC(=O)OC(C)=O, BrCc1ccccc1",C[C@H]1[C@@H](O)O[C@@H]2O[C@]3(C)CC=C4[C@H](C)C(O[Si](C)(C)C(C)(C)C)C[C@@H]1[C@]42OO3,zinc;zinc;Not in stock,{'uspto': 3395},"{'expansion_calls': 1386, 'reactants_generations': 13473, 'iterations': 100}",,,,,,,,,
CC12CCCc3cc(C(=O)Nc4ccc(C(=O)O)c(F)c4)cc(c31)CCC2,56.93308401,0,0,1579,13,26,426,0,0.791712219,FALSE,11,6,5,"Nc1ccc(C(=O)O)c(F)c1, CCOC(=O)Cl, O=C1CCC(=O)N1Br, CC(=O)O, O=C1CCC(=O)N1Br",CC12CCCc3cccc(c31)C(O)CC2,zinc;zinc;zinc;zinc;zinc;Not in stock,{'uspto': 1578},"{'expansion_calls': 1153, 'reactants_generations': 3015, 'iterations': 100}",,,,,,,,,
Cn1cnc2c1c(=O)n(CC(O)CO)c(=O)n2C,64.03325415,10.23126936,17,1492,13,54,782,7,0.997628706,TRUE,1,3,3,"C=CCn1c(=O)c2c(ncn2C)n(C)c1=O, CC(C)=O, O=S(O)S(=O)O",,zinc;zinc;zinc,{'uspto': 1491},"{'expansion_calls': 767, 'reactants_generations': 12285, 'iterations': 100}",,,,,,,,,
CSc1ncc(CN2CCN(C3CCCC3)C(CCO)C2)cn1,47.83108211,0,0,1579,13,35,393,0,0.814409345,FALSE,10,7,6,"O=P(Cl)(Cl)Cl, O=S(Cl)Cl, CCOC(=O)c1cnc(SC)nc1OC, BrCc1ccccc1, CC(=O)O, BrCc1ccccc1",CC(C)(C)OC(=O)CC1C(=O)N(C(=O)O)CCN1C1CCCC1,zinc;zinc;zinc;zinc;zinc;zinc;Not in stock,{'uspto': 1578},"{'expansion_calls': 1187, 'reactants_generations': 4275, 'iterations': 100}",,,,,,,,,
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H](Nc3cccc(O)c3)CCC[C@]12C,54.31012297,0,0,1867,13,29,662,0,0.791672836,FALSE,13,6,5,"BrCc1ccccc1, Oc1cccc(Br)c1, CC(C)(C)OC(=O)OC(=O)OC(C)(C)C, O=C(O)c1ccccc1, CC(=O)OC(C)=O",CC(C)=CCC[C@@H](C)[C@H]1C(O)C[C@H]2[C@@H](N=[N+]=[N-])C=CC[C@]12C,zinc;zinc;zinc;zinc;zinc;Not in stock,{'uspto': 1866},"{'expansion_calls': 1209, 'reactants_generations': 5919, 'iterations': 100}",,,,,,,,,
COc1ccccc1C#Cc1ccc([C@H]2[C@@H](C#N)N(C(=O)C3CCC3)[C@H]2CO)cc1,50.84067774,0,0,1384,13,35,203,0,0.7375,FALSE,4,4,3,"C#Cc1ccccc1OC, O=C(O)C1CCC1, BrCc1ccccc1",N#C[C@H]1N[C@@H](CO)[C@H]1c1ccc(Br)cc1,zinc;zinc;zinc;Not in stock,{'uspto': 1383},"{'expansion_calls': 1181, 'reactants_generations': 2735, 'iterations': 100}",,,,,,,,,
