target,search_time,first_solution_time,first_solution_iteration,number_of_nodes,max_transforms,max_children,number_of_routes,number_of_solved_routes,top_score,is_solved,number_of_steps,number_of_precursors,number_of_precursors_in_stock,precursors_in_stock,precursors_not_in_stock,precursors_availability,policy_used_counts,profiling,,,,,,,,,
CC(=O)N(C)c1ccc(-c2cn3cc(Br)ccc3n2)cc1C,25.28231788,2.780037403,5,485,7,17,188,42,0.994039854,TRUE,2,3,3,"Nc1ccc(Br)cn1, O=C(Br)CBr, CC(=O)N(C)c1ccccc1C",,zinc;zinc;zinc,{'uspto': 484},"{'expansion_calls': 366, 'reactants_generations': 6111, 'iterations': 100}",,,,,,,,,296
COCCn1c(-c2ccc(C(C)C)cc2)nc2c(OC)ccc(Cl)c21,21.49178839,0.060535908,1,747,13,18,296,60,0.986552929,TRUE,3,3,3,"COCCBr, CC(C)c1ccc(C#N)cc1, COc1ccc(Cl)c(N)c1",,zinc;zinc;zinc,{'uspto': 746},"{'expansion_calls': 484, 'reactants_generations': 3656, 'iterations': 100}",,,,,,,,,
N#Cc1ccccc1C=C1CCCCC1,49.63195181,1.839638472,5,843,13,39,282,13,0.997628706,TRUE,1,2,2,"C=C1CCCCC1, N#Cc1ccccc1Br",,zinc;zinc,{'uspto': 842},"{'expansion_calls': 628, 'reactants_generations': 10620, 'iterations': 100}",,,,,,,,55.45091662,
COC(=O)N1CCCCC1c1cc(C(=O)NCc2ccc(Cl)c(Cl)c2)no1,75.15590835,28.18157244,37,1325,13,15,279,4,0.963447071,TRUE,5,6,6,"NCc1ccc(Cl)c(Cl)c1, COC(=O)Cl, COC(=O)C(=O)OC, CC(=O)Cl, C1CCNCC1, O=C1c2ccccc2C(=O)N1O",,zinc;zinc;zinc;zinc;zinc;zinc,{'uspto': 1324},"{'expansion_calls': 1063, 'reactants_generations': 15932, 'iterations': 100}",,,,,,,,55.81794277,
Cc1ccc(CNCC(NC(=O)CNC(=O)c2cccc(C(F)(F)F)c2)C(=O)N(C)C)c(C)c1,30.94782639,0,0,1451,13,25,195,0,0.855016768,FALSE,12,10,9,"O=C(O)c1cccc(C(F)(F)F)c1, NCC(=O)O, O=C(Cl)Cl, OCC1c2ccccc2-c2ccccc21, Cc1ccc(C=O)c(C)c1, CC(C)(C)OC(=O)OC(=O)OC(C)(C)C, O=C(Cl)OCc1ccccc1, CC(C)(C)OC(=O)OC(=O)OC(C)(C)C, CNC=O",[N-]=[N+]=NCC(N)C(=O)O,zinc;zinc;zinc;zinc;zinc;zinc;zinc;zinc;Not in stock;zinc,{'uspto': 1450},"{'expansion_calls': 1256, 'reactants_generations': 1659, 'iterations': 100}",,,,,,,,54.99330622,
C[C@@]1(F)[C@H](O)[C@@H](CO)O[C@H]1n1nnc2c(NC3CC3)ncnc21,92.58527708,0,0,2688,13,32,1296,0,0.792001309,FALSE,9,6,5,"NC1CC1, Nc1c(Cl)ncnc1Cl, CC(=O)OC(C)=O, O=NOCc1ccccc1, OCc1ccccc1",CC(C)[Si](O[C@@H]1[C@@H](CBr)O[C@@H](N=[N+]=[N-])[C@]1(C)F)(C(C)C)C(C)C,zinc;zinc;zinc;zinc;Not in stock;zinc,{'uspto': 2687},"{'expansion_calls': 1398, 'reactants_generations': 13393, 'iterations': 100}",,,,,,,,,
Cc1nc(N2CCC(N3CCCC3=O)CC2)nc2ccc(NC(=O)/C=C/c3ccc(OC(F)(F)F)cc3)cc12,29.35857296,0,0,585,13,15,119,0,0.833621294,FALSE,7,8,7,"O=Cc1ccc(OC(F)(F)F)cc1, O=C1CCCN1C1CCNCC1, COP(=O)(CC(=O)O)OC, O=C(Cl)C(=O)Cl, O=C(OO)c1cccc(Cl)c1, Cc1nc(Cl)nc2ccccc12, CSC(C)=O",O=[N+]([O-])O,zinc;zinc;zinc;zinc;zinc;zinc;Not in stock;zinc,{'uspto': 584},"{'expansion_calls': 563, 'reactants_generations': 6696, 'iterations': 100}",,,,,,,,,
COc1cc(CCC(=O)N2CCOCC2)c([N+](=O)[O-])cc1OC,37.28709269,1.808212996,5,355,13,17,106,12,0.994039854,TRUE,2,2,2,"COc1cc(C=O)c([N+](=O)[O-])cc1OC, CC(=O)N1CCOCC1",,zinc;zinc,{'uspto': 354},"{'expansion_calls': 336, 'reactants_generations': 10046, 'iterations': 100}",,,,,,,,6.040666667,
C[C@H]1[C@@H](O)O[C@@H]2O[C@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,104.6032639,0,0,3412,13,18,2023,0,0.570016768,FALSE,12,5,3,"CC(=O)OC(C)=O, O=C(O)c1ccccc1, CC(=O)OC(C)=O","CC(C)(C)[Si](C)(C)Cl, C[C@H]1[C@@H](O[Si](C)(C)C(C)(C)C)O[C@@H]2O[C@]3(C)C=C[C@H]4[C@H](C)C(O)C[C@@H]1[C@@]24OO3",zinc;Not in stock;zinc;zinc;Not in stock,{'uspto': 3411},"{'expansion_calls': 1392, 'reactants_generations': 13476, 'iterations': 100}",,,,,,,,,
CC12CCCc3cc(C(=O)Nc4ccc(C(=O)O)c(F)c4)cc(c31)CCC2,55.75532627,0,0,1577,13,26,424,0,0.791683434,FALSE,12,6,5,"Nc1ccc(C(=O)O)c(F)c1, CCOC(=O)Cl, O=C1CCC(=O)N1Br, CC(=O)O, O=C1CCC(=O)N1Br",CC12CCCc3cccc(c31)C(O)CC2,zinc;zinc;zinc;zinc;zinc;Not in stock,{'uspto': 1576},"{'expansion_calls': 1153, 'reactants_generations': 2994, 'iterations': 100}",,,,,,,,,
Cn1cnc2c1c(=O)n(CC(O)CO)c(=O)n2C,63.9224124,10.53531003,18,1324,13,54,638,9,0.997628706,TRUE,1,3,3,"C=CCn1c(=O)c2c(ncn2C)n(C)c1=O, CC(C)=O, O=S(O)S(=O)O",,zinc;zinc;zinc,{'uspto': 1323},"{'expansion_calls': 745, 'reactants_generations': 13133, 'iterations': 100}",,,,,,,,,
CSc1ncc(CN2CCN(C3CCCC3)C(CCO)C2)cn1,44.77720308,0,0,1598,13,35,407,0,0.814409345,FALSE,10,7,6,"O=P(Cl)(Cl)Cl, O=S(Cl)Cl, CCOC(=O)c1cnc(SC)nc1OC, BrCc1ccccc1, CC(=O)O, BrCc1ccccc1",CC(C)(C)OC(=O)CC1C(=O)N(C(=O)O)CCN1C1CCCC1,zinc;zinc;zinc;zinc;zinc;zinc;Not in stock,{'uspto': 1597},"{'expansion_calls': 1191, 'reactants_generations': 3938, 'iterations': 100}",,,,,,,,,
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H](Nc3cccc(O)c3)CCC[C@]12C,52.51296067,0,0,1872,13,29,674,0,0.791672836,FALSE,13,6,5,"BrCc1ccccc1, Oc1cccc(Br)c1, CC(C)(C)OC(=O)OC(=O)OC(C)(C)C, O=C(O)c1ccccc1, CC(=O)OC(C)=O",CC(C)=CCC[C@@H](C)[C@H]1C(O)C[C@H]2[C@@H](N=[N+]=[N-])C=CC[C@]12C,zinc;zinc;zinc;zinc;zinc;Not in stock,{'uspto': 1871},"{'expansion_calls': 1203, 'reactants_generations': 5941, 'iterations': 100}",,,,,,,,,
COc1ccccc1C#Cc1ccc([C@H]2[C@@H](C#N)N(C(=O)C3CCC3)[C@H]2CO)cc1,49.78964353,0,0,1386,13,35,204,0,0.7375,FALSE,4,4,3,"C#Cc1ccccc1OC, O=C(O)C1CCC1, COc1ccc(CBr)cc1",N#C[C@H]1N[C@@H](CO)[C@H]1c1ccc(Br)cc1,zinc;zinc;zinc;Not in stock,{'uspto': 1385},"{'expansion_calls': 1182, 'reactants_generations': 2686, 'iterations': 100}",,,,,,,,,
C=C1[C@H]2C[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C(C)(C)[C@@]2(O)[C@H](O)C[C@@]23C[C@@H](CC[C@@H]12)[C@](C)(O)C3,80.39813685,0,0,3600,13,96,2298,0,0.792565977,FALSE,8,6,5,"CC(=O)OC(C)=O, CC(=O)OC(C)=O, CC(=O)OC(C)=O, CC(=O)OC(C)=O, BrCc1ccccc1",C=C1[C@H]2C[C@H](O[C@@H]3O[C@H](CO[Si](C)(C)C(C)(C)C)[C@@H](O)[C@H](O)[C@H]3O)C(C)(C)[C@@]2(O)[C@H](O)C[C@@]23C[C@@H](CC[C@@H]12)[C@](C)(O)C3,zinc;zinc;zinc;zinc;Not in stock;zinc,{'uspto': 3599},"{'expansion_calls': 1303, 'reactants_generations': 5738, 'iterations': 100}",,,,,,,,,
COc1cccc(-c2cc(F)ccc2[C@H]2Cc3nc(N)nc(C)c3C(=NOCC(=O)N(C)C[C@H](O)CO)N2)n1,134.2390702,0,0,2399,13,21,845,0,0.870839503,FALSE,13,12,11,"COC(C)(C)OC, CNC[C@H](O)CO, Brc1ccccc1, OCCNCCO, OB(O)c1cccc(Cl)n1, COCc1ccccc1, CC(C)(C)C(N)=O, CC(=O)O, O=C1CCC(=O)N1Cl, CN(C)C(OC(C)(C)C)OC(C)(C)C, C[Si](C)(C)C=[N+]=[N-]",Cc1ncnc2c1C(=NOCC(=O)O)N(C(=O)OC(C)(C)C)[C@@H](c1ccc(F)cc1Br)C2,zinc;zinc;zinc;zinc;zinc;zinc;zinc;zinc;zinc;zinc;zinc;Not in stock,{'uspto': 2398},"{'expansion_calls': 1584, 'reactants_generations': 22140, 'iterations': 100}",,,,,,,,,
OCC(Cc1ccccc1)NCc1ccccc1C(F)(F)F,40.60161471,0.421470165,1,1455,13,20,464,14,0.997628706,TRUE,1,2,2,"NCc1ccccc1C(F)(F)F, O=C(CO)Cc1ccccc1",,zinc;zinc,{'uspto': 1454},"{'expansion_calls': 994, 'reactants_generations': 4100, 'iterations': 100}",,,,,,,,,
C=C(C=O)[C@@H]1CC[C@]2(COC(C)=O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,68.14919066,0,0,2060,13,21,848,0,0.76089931,FALSE,8,5,4,"CC(=O)OC(C)=O, C1CCOC1, CC(=O)OC(C)=O, CC(=O)OC(C)=O",CC1(C)[C@@H](O)CC[C@]2(C)[C@H]3CC[C@@H]4[C@H]5[C@H](C(=O)CO[Si](c6ccccc6)(c6ccccc6)C(C)(C)C)CC[C@]5(CO)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,zinc;zinc;zinc;zinc;Not in stock,{'uspto': 2059},"{'expansion_calls': 1212, 'reactants_generations': 6153, 'iterations': 100}",,,,,,,,,
Nc1cc(F)ccc1NC(=O)c1ccc(NC(=O)Cc2ccc(C(F)(F)F)cc2)cc1,9.351981401,0.068607569,1,314,13,11,123,80,0.994039854,TRUE,2,3,3,"Nc1ccc(F)cc1N, Nc1ccc(C(=O)O)cc1, O=C(Cl)Cc1ccc(C(F)(F)F)cc1",,zinc;zinc;zinc,{'uspto': 313},"{'expansion_calls': 212, 'reactants_generations': 1966, 'iterations': 100}",,,,,,,,,
CCOc1ccc(/C=C/CN(C)Cc2ccc3c(c2)OCO3)cc1,28.59164143,0.030000687,1,581,13,20,295,12,0.997628706,TRUE,1,2,2,"C=CCN(C)Cc1ccc2c(c1)OCO2, CCOc1ccc(Br)cc1",,zinc;zinc,{'uspto': 580},"{'expansion_calls': 324, 'reactants_generations': 5352, 'iterations': 100}",,,,,,,,,
